"",0,0,0,0,0,0,,0,0,0,0,0,0
"",Cannot,Cannot,Cannot,Cannot,Cannot,,,,,,,,
DEPARTMENT TOTAL:,0,0,0,0,0,0,Error,0,0,0,0,0,0
"",0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
COLLEGE TOTAL:,0,0,0,0,0,0,Error,0,0,0,0,0,0
"",0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
